"type";"c"
"via a palermo";1
"plan.at:me:road";1
"back_passage";1
"un";1
"trsck";1
"residential;service";1
"local";1
"pre";1
"Rodelbahn";1
"half-existing-trail";1
"motorway, toll_booth";1
"sidewalk";1
"re";1
"Complejo Acuatico";1
"玉泉路";1
"pes";1
"Walkway";1
"15225570";1
"path_overgrown";1
"plan.at:g#:residential";1
"Langlauf";1
"Dirt Track";1
"Place de la République";1
"unclassified; trunk";1
"ski_jump";1
"fpath";1
"parking_aisley";1
"Drive";1
"pederastian";1
"trackl";1
"footway to service station";1
"Khandaq";1
"rs";1
"no name attention !";1
"streps";1
"residential restricted access";1
"recidential";1
"Bicyclepath";1
"prinary_link";1
"airport";1
"Ridge Road";1
"SW Chirp St";1
"pedestrian; residential";1
"disputed";1
"*";1
"track; steep_incline";1
"cycleway_link";1
"dismantled";1
"footway;incline";1
"AGS Colony 1st Main Road";1
"residential; footway";1
"buslane";1
"Centre Commercial";1
"prima_link";1
"just-upload";1
"plan.at:we:unclassified";1
"Car park entrance";1
"Rietkraag114-124 even";1
"Service Road";1
"um";1
"footwaay";1
"staeps";1
"Long Bay";1
"Personal";1
"tertiary_disabled";1
"posbile footway";1
"water";1
"residential; road";1
"escalier";1
"residentiatrackl";1
"stairs";1
"footway;residential";1
"Kai Bootshafen";1
"unclasiied";1
"0x6e";1
"Seaford-OysterBay Expressway";1
"primary; secondary";1
"Selanova ulica";1
"cy";1
"via del Greto";1
"Thinh Yen";1
"Vers Aintaya";1
"service/pedestrian";1
"service; secondary";1
"barrier";1
"Unterortwick";1
"horseback";1
"Lodge Road";1
"fac";1
"reack";1
"Airfield";1
"Private Driveway";1
"trac";1
"designated";1
"residetrackntial";1
"I-10W Exit";1
"\track";1
"uncovered";1
"tertiary link";1
"unclassified; track; track";1
"grade";1
"psv";1
"boat";1
"none";1
"Limbergen";1
"aerialway";1
"steep";1
"motorway_link; unclassified";1
"grade5";1
"residential_link";1
"gtra";1
"unclassified; primary_link";1
"Conduit Hill";1
"steps:moving";1
"turning_circle, residential";1
"Rue d'Artouste";1
"trakc";1
"l";1
"wall";1
"Inverness Park";1
"peer";1
"bridleway,track";1
"st";1
"dam";1
"Merkaartor 0.12";1
"disused_cycleway";1
"plan.at:im:secondary";1
"De Kroon";1
